Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest3,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRelatedPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getName; io.agrest.RelatedResourceEntity.getIncoming
agrest3,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRootPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest3,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRootPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest3,io.agrest.cayenne.processor.select,ViaQueryResolver,Law of Demeter violation,The tool detected the smell in this method (doAssembleQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.setSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest3,io.agrest.cayenne.processor.select,ViaQueryResolver,Law of Demeter violation,The tool detected the smell in this method (doFetchData) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.getSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest3,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
agrest3,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Law of Demeter violation,The tool detected the smell in this method (doOnParentQueryAssembled) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneProcessor.getRelatedEntity; io.agrest.cayenne.processor.CayenneRelatedResourceEntityExt.setSelect
agrest3,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Law of Demeter violation,The tool detected the smell in this method (dataReader) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.RelatedResourceEntity.getParent
agrest3,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Law of Demeter violation,The tool detected the smell in this method (indexResultByParentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.RelatedResourceEntity.getParent; io.agrest.meta.AgEntity.getIdParts
agrest3,io.agrest.cayenne.processor.select,ViaQueryWithParentIdsResolver,Law of Demeter violation,The tool detected the smell in this method (doOnParentDataResolved) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneProcessor.getRelatedEntity; io.agrest.cayenne.processor.CayenneRelatedResourceEntityExt.setSelect
agrest3,io.agrest.cayenne.processor.select.stage,CayenneSelectApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest3,io.agrest.cayenne.processor.select.stage,CayenneSelectApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRelatedEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest3,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,Law of Demeter violation,The tool detected the smell in this method (unrelateSingle) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getRelationship; io.agrest.meta.AgSchema.getEntity
agrest3,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,Law of Demeter violation,The tool detected the smell in this method (unrelateSingle) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getTargetEntity; io.agrest.meta.AgEntity.getType
