Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
agrest3,io.agrest.cayenne.cayenne.main.auto,_E23,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E23,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; EXPOSED_ID; NAME; E26S; exposedId; name; e26s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E24,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E24,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; TYPE_PK_COLUMN; NAME; TYPE; name; type
agrest3,io.agrest.cayenne.cayenne.main.auto,_E25,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E25,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN
agrest3,io.agrest.cayenne.cayenne.main.auto,_E26,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E26,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; E23; e23
agrest3,io.agrest.cayenne.cayenne.main.auto,_E27Nopk,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E27Nopk,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; NAME; name
agrest3,io.agrest.cayenne.cayenne.main.auto,_E28,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E28,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; JSON; json
agrest3,io.agrest.cayenne.cayenne.main.auto,_E29,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E29,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID1_PK_COLUMN; ID2_PK_COLUMN; ID2PROP; E30S; id2Prop; e30s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E3,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E3,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID__PK_COLUMN; NAME; PHONE_NUMBER; E2; E5; name; phoneNumber; e2; e5
agrest3,io.agrest.cayenne.cayenne.main.auto,_E30,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E30,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; E29; e29
agrest3,io.agrest.cayenne.cayenne.main.auto,_E31,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E31,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; ID; NAME; id; name
agrest3,io.agrest.cayenne.cayenne.main.auto,_E4,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E4,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; C_BOOLEAN; C_DATE; C_DECIMAL; C_INT; C_TIME; C_TIMESTAMP; C_VARCHAR; cBoolean; cDate; cDecimal; cInt; cTime; cTimestamp; cVarchar
agrest3,io.agrest.cayenne.cayenne.main.auto,_E5,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E5,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; DATE; NAME; E15S; E3S; date; name; e15s; e3s
