Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Law of Demeter violation,The tool detected the smell in this method (dataReader) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.RelatedResourceEntity.getParent
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Law of Demeter violation,The tool detected the smell in this method (indexResultByParentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getIdParts; io.agrest.RelatedResourceEntity.getParent
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentIdsResolver,Law of Demeter violation,The tool detected the smell in this method (doOnParentDataResolved) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneProcessor.getRelatedEntity; io.agrest.cayenne.processor.CayenneRelatedResourceEntityExt.setSelect
agrest,io.agrest.cayenne.processor.select.stage,CayenneSelectApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest,io.agrest.cayenne.processor.select.stage,CayenneSelectApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRelatedEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,Law of Demeter violation,The tool detected the smell in this method (unrelateSingle) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgSchema.getEntity; io.agrest.meta.AgEntity.getRelationship
agrest,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,Law of Demeter violation,The tool detected the smell in this method (unrelateSingle) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getTargetEntity; io.agrest.meta.AgEntity.getType
agrest,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,Law of Demeter violation,The tool detected the smell in this method (unrelateAll) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgSchema.getEntity; io.agrest.meta.AgEntity.getRelationship
agrest,io.agrest.cayenne.processor.update.stage,CayenneFillResponseStage,Law of Demeter violation,The tool detected the smell in this method (doExecute) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.RootResourceEntity.setData
agrest,io.agrest.cayenne.processor.update.stage,CayenneFillResponseStage,Law of Demeter violation,The tool detected the smell in this method (assignChildrenToParent) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getIdReader
agrest,io.agrest.cayenne.processor.update.stage,CayenneFillResponseStage,Law of Demeter violation,The tool detected the smell in this method (assignChildrenToParent) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RelatedResourceEntity.getIncoming; io.agrest.meta.AgRelationship.getName
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,Law of Demeter violation,The tool detected the smell in this method (collectUpdateDeleteOps) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getAgEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,Law of Demeter violation,The tool detected the smell in this method (existingObjects) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getName
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (collectCreateOps) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getName
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (existingObjects) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getName
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (buildRootQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.setSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (buildRelatedQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RelatedResourceEntity.getParent; io.agrest.ResourceEntity.getName
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (buildRelatedQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RelatedResourceEntity.getIncoming; io.agrest.meta.AgRelationship.getName
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (fetchRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.getSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (assignChildrenToParent) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getIdParts
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (create) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getAgEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.EntityUpdate.getEntity; io.agrest.meta.AgEntity.getRelationship
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getName; io.agrest.meta.AgRelationship.getTargetEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.EntityUpdate.getEntity; io.agrest.meta.AgEntity.getRelationship
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getName; io.agrest.meta.AgRelationship.getTargetEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (createParentRelator) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getRelationship; io.agrest.meta.AgRelationship.isToMany
agrest,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (dbAttributeForAgAttribute) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.IPathResolver.resolve; io.agrest.cayenne.path.PathDescriptor.getPathExp
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRelatedEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromRelatedIds) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getAgEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromMeaningfulPk) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getAgEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromExplicitContextId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getAgEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromExplicitContextId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getEntity; io.agrest.ResourceEntity.getAgEntity
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromExplicitContextId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getId; io.agrest.id.AgObjectId.asMap
agrest,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromParentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.id.AgObjectId.get; io.agrest.runtime.EntityParent.getId
agrest,io.agrest.cayenne.spi,CayenneRuntimeExceptionMapperIT.Resource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
agrest,io.agrest.cayenne.spi,ValidationExceptionMapperIT.Resource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A1; IE2
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A3
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A2
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Super,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A0; TYPE; IE3S
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A1; IE2
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A3
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A2
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Super,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A0; TYPE; IE3S
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Ie2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; IE1S
agrest,io.agrest.cayenne.cayenne.inheritance.auto,_Ie3,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; IE1
agrest,io.agrest.cayenne.cayenne.main.auto,_E1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E15E1
agrest,io.agrest.cayenne.cayenne.main.auto,_E10,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; C_BOOLEAN; C_DATE; C_DECIMAL; C_INT; C_TIME; C_TIMESTAMP; C_VARCHAR; E11S
agrest,io.agrest.cayenne.cayenne.main.auto,_E11,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; ADDRESS; NAME; E10
agrest,io.agrest.cayenne.cayenne.main.auto,_E12,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; E1213
agrest,io.agrest.cayenne.cayenne.main.auto,_E12E13,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: E12_ID_PK_COLUMN; E13_ID_PK_COLUMN; E12; E13
